text,time,channel,label
This is absolutely mind-blowing!,14 hours ago,CNBC,1
Companies should start price labelling their products with the (RTT) Republican Trump Tax. e.g. $4.99 + RTT $12.23,3 days ago,CNBC,1
"Tariffs are paid by the companies. Consumers pay for products at retail, and if that company increases a price then they may lose that sale to a competitor. If one company wants to gain market-share then they can eat more of the costs while contracting existing US shoe makers to tool up for making their shoes. None of the companies making products like clothing have the monopoly needed for passing the costs completely to the customer.",8 days ago,CNBC,2
"Ok lets start from way back a few years ago, the US Industry started to reduce US workmanship hours because it was too expensive to keep jobs in the US, due to this  the final price of USA made goods was going to increase $$ increase $$$ increase$$$$,  because of this  US manufacturer starting looking abroad to other countries to find a way to reduce workmanship cost and keep their prices competitive creating global manufactures alliances,  this SMART move 30+ years ago, started this diversification to source parts, components and reduce the US production Process (because CEO's wanted to keep their pocket filled up).. So,  now your President TRUP (who is an ignorant by excellence and a scum bag by trade, that always in all of this own businesses took advantage of business ppl all his life) He decided that the OTHER countries that HELPED the US in reducing COST and maintain their competitiveness are the one ""Taking advantage of the poor US"" so who open the door initially to come up to this situation?? It  was  the US themselves, including all the EX-Presidents, US Governments in the last 20, 30 years... That's is how GLOBAL Economy works!! Creating agreement and respect them thru the years! (I'm sure a 15 year old could understand this... but no FRUMP a Convicted felon elected by ""ignorant"" who also do not understand about politics (as they got tricked by a clown) nor economics but like to Drive the BIG AMERICAN TRUCK! ( well, let me tell you..  is not American  TRUCK.. its an international TRUCK!! Good luck America, you are going down the toilet! The best outcome of all this craziness, is that the world will become stronger and NEW politic and business alliances will form.... without the USA!!! bon voyage losers!  ( Another side effect of this tariff implementation is the increase of Beaurocracy and the opportunity to create more scams,   I'm sure TRUMP is going to create a ""TARIFF Government Office"" to collect this $$$ coming in, and somehow a big $$$%% will go into TRUMP pockets... prove me wrong!) Economy is NOT a GAME!!

Ok, comencemos desde hace unos a?os, la Industria Estadounidense comenz? a reducir la mano the obra estadounidense porque era demasiado caro, mantener los empleos en los EE. UU., debido a esto, el precio final de los bienes fabricados en EE. UU. iba a aumentar $$ aumentar $$$ aumentar$$$$, debido a que esto, los fabricantes estadounidense comenzaron a buscar en el extranjero a otros pa?ses para encontrar una manera de reducir el costo de la mano de obra y mantener sus precios competitivos creando alianzas Globales, este movimiento INTELIGENTE hace m?s de 30 a?os, comenz? esta diversificaci?n para obtener piezas, componentes y reducir el proceso de producci?n de EE. UU. (porque los CEO quer?an mantener sus bolsillos llenos) .. Entonces, ahora su presidente TRUP (que es un ignorante por excelencia y una escoria de oficio, que siempre en todos sus propios negocios se aprovech? de los empresarios toda su vida) decidi? que los OTROS pa?ses que AYUDARON a los EE. UU. a reducir COSTOS y mantener su competitividad son los que ""se aprovechan de los pobres EE. UU."", entonces, ¢¯qui?n abri? la puerta inicialmente para llegar a esta situaci?n?

Fueron los propios EE. UU., incluyendo a todos los expresidentes y gobiernos estadounidenses de los ?ltimos 20 o 30 a?os que negociaron estos acuerdos de cooperaci?n Industrial.... ... ¢®As? funciona la econom?a global! ¢®Creando acuerdos y respet?ndolos a lo largo de los a?os! (Estoy seguro de que un chico de 15 a?os podr?a entender esto... pero no FRUMP, un delincuente convicto elegido por ""ignorantes"" que tampoco entienden de pol?tica (ya que fueron enga?ados por un payaso) ni de econom?a, ¢®pero les gusta conducir el GRAN CAMI?N AMERICANO! (Bueno, d?jame decirte... no es un CAMI?N estadounidense... ¢®es un CAMI?N internacional! ¢®Buena suerte, Estados Unidos, te est?s yendo al traste! El mejor resultado de toda esta locura es que el mundo se volver? m?s fuerte y se formar?n NUEVAS alianzas pol?ticas y comerciales... ¢®sin los EE. UU.! ¢®Buen viaje, perdedores! (Otro efecto secundario de esta implementaci?n arancelaria es el aumento de la burocracia y la oportunidad de crear m?s estafas, estoy seguro de que TRUMP va a crear una ""Oficina Gubernamental ARANCELARIA"" para recaudar este $$$ que entra, y de alguna manera un gran $$$%% ir? a los bolsillos de TRUMP... ¢®demu?strame que estoy equivocado!) ¢®La econom?a NO es un JUEGO!
L.C.

Ok, vamos come?ar de alguns anos atr?s, a ind?stria dos EUA come?ou a reduzir as horas de trabalho nos EUA porque era muito caro manter empregos nos EUA, devido a isso o pre?o final dos produtos feitos nos EUA iria aumentar $$ aumentar $$$ aumentar$$$$, por causa deste fabricante dos EUA come?ou a olhar para o exterior para outros pa?ses para encontrar uma maneira de reduzir o custo de m?o de obra e manter seus pre?os competitivos criando alian?as globais de fabricantes, esta jogada INTELIGENTE h? mais de 30 anos, come?ou esta diversifica??o para obter pe?as, componentes e reduzir o processo de produ??o dos EUA (porque os CEOs queriam manter seus bolsos cheios). Ent?o, agora seu presidente TRUP (que ? um ignorante por excel?ncia e um canalha por profiss?o, que sempre em todos os seus pr?prios neg?cios tirou vantagem das pessoas de neg?cios durante toda a sua vida) Ele decidiu que os OUTROS pa?ses que AJUDARAM os EUA a reduzir CUSTO e manter sua competitividade s?o os que ""Tiram vantagem dos pobres EUA"", ent?o quem abriu a porta inicialmente para chegar a esta situa??o??
Foram os pr?prios EUA, incluindo todos os EX-Presidentes, Governos dos EUA nos ?ltimos 20, 30 anos... ? assim que a Economia GLOBAL funciona!! Criando acordo e respeitando-os ao longo dos anos! (Tenho certeza de que um garoto de 15 anos entenderia isso... mas n?o FRUMP, um criminoso condenado eleito por ""ignorantes"" que tamb?m n?o entendem de pol?tica (pois foram enganados por um palha?o) nem de economia, mas gostam de dirigir o GRANDE CAMINH?O AMERICANO! (Bem, deixe-me dizer... n?o ? um CAMINH?O americano... ? um CAMINH?O internacional!! Boa sorte, Am?rica, voc?s est?o indo para o banheiro! O melhor resultado de toda essa loucura ? que o mundo se tornar? mais forte e NOVAS alian?as pol?ticas e comerciais se formar?o... sem os EUA!!! Boa viagem, perdedores! (Outro efeito colateral dessa implementa??o de tarifas ? o aumento da burocracia e a oportunidade de criar mais golpes, tenho certeza de que TRUMP criar? um ""Gabinete do Governo de TARIFAS"" para coletar esse $$$ que est? entrando, e de alguma forma uma grande $$$%% ir? para os bolsos de TRUMP... provem que estou errado!) Economia N?O ? UM JOGO!!",11 days ago,CNBC,1
Well if that do not want to buy American and support American jobs....,13 days ago,CNBC,1
Mabey you should make your shoes in the US.  Problem solved.,3 weeks ago,CNBC,1
"Trump is a child out of his league, and he's surrounded himself with fools.",1 month ago,CNBC,1
This is another tactic used against small businesses and driving them out. First COVID-19 and now this.,1 month ago,CNBC,1
"No, it's greed.  Business is stock piling product at a lower price, and when tariff starts, they put the price up on stock piled stock and make big bucks",1 month ago,CNBC,1
Hold fast America . Learn how to live under your means . This will bring back our once great industrial system. Be patient and hold fast !,1 month ago (edited),CNBC,0
Stop complaining or comparing about TITANIC great movie.. Every recession or depression brings inflation. Only time will tell how much.,1 month ago (edited),CNBC,2
We love Americans but idiot Trump destroyed us,1 month ago,CNBC,1
I bet most of those bosses voted for that ginger head with tech oligarch,1 month ago,CNBC,1
"First COVID, the first round of tariffs from Trump that Biden kept, and now this!? Back to Little House in the Prairie.",1 month ago,CNBC,1
Trump promise prise will not go up,1 month ago,CNBC,1
"Fool speak.  
The problem is the hunt for slave labor - well before any talk of tariffs. 
Too bad for the shoe guy.  Move prod to Vietnam like you should have years ago.  
Boo hoo all you slave drivers.",1 month ago,CNBC,1
The Tariffs are a big squeeze against the middle. The billionaires will not be affected by the Tariffs and small businesses will complete disappear.,1 month ago,CNBC,1
great! nice to see that companies can skirt these tariffs while consumers and the average person has no choice but to be effected by them!!,1 month ago,CNBC,1
"Nobody seems to be talking about the fact that nobody is going to spend billions of dollars and years to move their manufacturing back to the US because:
1. Trump could change his mind in 20 minutes.
2. In 4 years the next administration could/would remove all the tariffs.
3. Trump could die and  the next administration could/would remove all the tariffs.
So everyone will probably just wait it out.",1 month ago,CNBC,2
"I see why Trump did the Tariffs, the U.S. is not making money off of other imports to other countries.",1 month ago,CNBC,2
"Not one mention on why the tariffs, is you disdain for the American people that you don¡¯t want to even mention the dead. Pretty shameful.",1 month ago,CNBC,1
"Will these companies raise prices even on their front loaded inventory? That should give them quite a hefty profit for all this inventory to get an extra 10 to 25% profit just for buying early. Do you think the companies, like the ones mentioned, will do that?",1 month ago,CNBC,2
i wont buy american regardless of tariffs.,1 month ago,CNBC,2
"Too bad consumers can¡¯t.

GOP hates working people-prove me wrong",1 month ago,CNBC,1
Very small prize to pay to stop awer kids from Bing slaves to fintianil we Hispanic Americans suport and love awer president Donald Trump ,1 month ago,CNBC,0
Makes? Or imports?,1 month ago,CNBC,2
Maga supporters and US consumers will feel the catastrophic impact by this tariff imposed by trump.,1 month ago (edited),CNBC,1
Happy MAGA!   Trump!,1 month ago,CNBC,0
Lmao she looks so terrified to have to report on this with her face not blurred out,1 month ago,CNBC,1
Ireland,1 month ago,CNBC,1
Tariffs and tax never made sense in an optiminal economical world but politics exists,1 month ago,CNBC,2
"OK my question is if/when the tariffs come will the product that was ""Front Loaded"" going to stay at pre-tariff prices... or is this a buy low sell high type of deal?
we are still paying pandemic prices for pandemic products... or for those who just said huh... high prices for less product...",1 month ago,CNBC,2
undercutting american manufacturing and workers should have a risk.,1 month ago,CNBC,0
"So the question you need to answer in the video is why are the tariffs happening because without that understanding, then the only assumption a viewer believes is that Tariffs are bad and serves no purpose.  But actually it serves a purpose to restore manufacturing jobs in America  and also prevent countries like China from using Canada and Mexico as a back door to avoiding tariffs.  It is also about illegal immigration because Mexico does hardly anything to secure it's border while US border patrol spends billions securing the border.  It boils down to fairness and other countries were taking advantage of the US and it's past free and open border policies.  If we don't have a conversation about the end goal with tariffs, then it is a one sided argument.",1 month ago,CNBC,0
"I think the Us should specialise in one sector on manufacturing and invest in it to be export oriented,like shown in the graph in this video Italy produces shoes not because the labour is cheap(it is even higher than the us)but because we produce to export high end quality shoes like Ferragamo,there are no Nike,Adidas,Puma factories here only Italian brand because some of the best leather in the world is produced here plus the craftmanship,you know that american oscar winning actor daniel day lewis gave up acting at one point and moved to Italy and worked  as a shoemaker?he wanted to learn the craft.",1 month ago,CNBC,2
"Dont blame Trump supporters, they just can't understand.  I don't blame them",1 month ago,CNBC,2
"Fascinating!  How great the impact of a politician could bring upon his subjects during his reign and after, no wonder they regularly wear Emperor's New Clothes!",1 month ago,CNBC,1
Trump introduced tarrifs so people would buy American products but not enough factories have been set up in the US to produce the amount of goods Americans consume.,1 month ago,CNBC,2
American company in China ship back to United States yeah they should pay bring the company back to United States,1 month ago,CNBC,0
And you know what they do even if they have a stockpile? The moment the tariffs are active  they still charge more,1 month ago,CNBC,1
Why would you skirt and dodge the policies of the person you voted into office? I mean it seems you may be unamerican and a traitor. I mean this is why you voted him into office isn't it?,1 month ago,CNBC,0
I hope Trump does everything he said he would fo and screw Americans good. This is what these self-righteous ignorant people confidently voted for.,1 month ago,CNBC,1
Is that what cha want murrica,1 month ago,CNBC,1
"EGGS STORED IN WAREHOUSES ARE NOT FIT FOR HUMAN CONSUMPTION 
NOW MILLIONS OF DOZENS OF EGGS EXPORTED FROM CANADA TO THE UNITED STATES WILL HAVE A 25 PERCENT PRICE INCREASE",1 month ago,CNBC,1
"Buy only what u need, screw all this garbage",1 month ago,CNBC,2
Any company can avoid tariffs by relaying the product through untariffed countries.,1 month ago,CNBC,2
Trumps economy. But rich CEO will get a 2 trillion tax break then raise prices working people. Rich r screwing everyone,1 month ago,CNBC,1
Designer shoes are a bold faced scam built to promote big government.,1 month ago,CNBC,1
Seeing how the consumer is going to pay for the extra cost and its a money issue why doesn't the government do similar to what Ronald Reagan did with his tax reform of 1986 and slash individual income tax rates by half. Everyone that is working in a job will then have thousands of dollars back in return. It worked back then.,1 month ago,CNBC,2
"You guys do understand  that this will allow american manufacturing  to become a thing again due to the tariffs, or the companies have some parts of their processes done by american workers to avoid  these tariffs which will then benefit us...right?",1 month ago,CNBC,0
Trump was a corrupt business man who just brought in his goons to the White House.,1 month ago,CNBC,1
Why are they avoiding tarif? Isnt that wat the US wanted? ... Face the trouble or stand up against that orange dictator before it is too late...  He is only making unpredictable decisions and no business likes unpredictable policies...,1 month ago,CNBC,1
"Like Walmart and Columbia didn't know this was in Project 2025, and were then VESTED in TRUMP APPEARING TO WIN THE VOTE.",2 months ago,CNBC,1
so dumb Trump wants to create an External Revenue Sevice completely ignorant to the fact that the duty is collected by customs.. I can see the winning already... OH God help us.,2 months ago,CNBC,1
"Trump is thinking that other countries will come and invest in USA and build manufactures in the USA to avoid tarifs ¡¦.not going to happen¡¦China have all countries in the world to trade with, and have Russia and India on his side and North Korea cheap labor¡¦so no not now not ever¡¦",2 months ago,CNBC,1
"A trade deficit doesnt mean other countries owe you money. It just means you guys buy more stuff than other countries buy from you. Whatever money you guys spent, you guys got goods for it, its not like China is ripping you guys off. US created the demand and China supplied. Stop crying, fix your domestic issues and clean your backyard. You guys single handedly start proxy wars and then offer ""protection"" to your allies for a cost. Everytime theres war, federal reserve prints more money, that money only cycles up, to corporations and the rich 1%. US makes money from war, Its very obvious now, get out of here, the world hate bullies.",2 months ago (edited),CNBC,1
"There are cycles and we are due for a crash to snap things back in line with reality. Ideally, investors find help utilizing the service of an advisor to avoid the irrational behavior in face of volatility and uncertainty",1 month ago,CNBC,2
"You're spot on, especially about planning for inflation.  I remember when I first sat down with my advisor, Grace, I had this vague idea of how much I'd need for retirement, but I hadn't really factored in inflation. Grace walked me through different inflation scenarios, and it was a real eye-opener.  She showed me how even a seemingly small annual inflation rate can significantly impact my purchasing power over 30 years of retirement.  She then helped me adjust my savings plan and even suggested some tax-advantaged accounts to maximize my growth potential.  It was a bit overwhelming at the time, but now, having a clear, inflation-adjusted retirement plan gives me so much peace of mind.  It's like you said, being realistic about inflation is key.",1 month ago,CNBC,0
"Wow, her track record looks really good from what I found online. We'll take a chance and see how it goes. Thanks for the info",1 month ago,CNBC,0
"Give it time, it's going to be bad for the American consumer.  While you are profiting off of the chaos it would be nice if you consider those less fortunate that will be economically devastated.",1 month ago,CNBC,1
"as a beginner, its best you seek the guidance of a financial specialist, it may seem costly but could save you the cost of a fiasco",2 months ago,CNBC,0
"I agree, financial advisory is currently the optimal approach for navigating the financial market, especially for newbies and those approaching retirement. At first-hand experience, my portfolio has surged over 300% since the covid crash of 2020 to date.",2 months ago,CNBC,0
"Very encouraging for newbies like myself, mind sharing advisor info, please? In dire need of proper asset allocation.",2 months ago,CNBC,2
